start,end,speaker,text
1319.38,1324.8200000000002,SPEAKER_02, Is it going to have a charger or is it going to be run strictly after batteries?
1324.8200000000002,1330.3400000000001,SPEAKER_02, And we asked the need to deal with the issue that you mentioned of speech recognition if you want.
1330.3400000000001,1337.8200000000002,SPEAKER_00, Do we have a speech recognition that we can start aiming at like another kind of more handicapped?
1337.8200000000002,1339.8600000000001,SPEAKER_00, Disabled demographic?
1340.86,1344.86,SPEAKER_01," Well, there's the people who desire speech recognition."
1344.86,1348.86,SPEAKER_01, There's the different demographics have different desires.
1348.86,1350.86,SPEAKER_01, I don't know if you guys can.
1350.86,1351.86,SPEAKER_02, You could.
1351.86,1360.86,SPEAKER_01," It wouldn't copy onto the the things it's black, but all the different age groups have different desires for speech recognition."
1360.86,1364.86,SPEAKER_01, So basically older people don't really care.
1364.86,1367.86,SPEAKER_01, It's really the people 25 to 35.
1367.86,1370.86,SPEAKER_01, I feel those are the people that really watch a lot of TV though.
1370.86,1375.86,SPEAKER_01, The ones I get addicted to soap operas and sitcoms and stuff.
1375.86,1379.86,SPEAKER_02," If we introduce it when they're this age, they're going to probably always buy a remote"
1379.86,1387.86,SPEAKER_00," that has. So then do you put voice recognition, do you put the like a receiver on the actual television in the base or in the actual mode?"
1387.86,1391.86,SPEAKER_00, Because then you've already got the motor and then hand while you're just going to speak to remote.
1391.86,1392.86,SPEAKER_00, Right.
1392.86,1397.86,SPEAKER_00, Whereas if you just speak and done on you don't have to have the remote in your hand like to talk about it.
1397.86,1398.86,SPEAKER_02, Yeah.
1398.86,1402.86,SPEAKER_02, And the speech recognition could be part of the lost and found device too.
1402.86,1403.86,SPEAKER_02, Right.
1403.86,1406.86,SPEAKER_02," We say find remote, locate remote or something."
1406.86,1410.86,SPEAKER_02, That certain phrase that it could be.
1410.86,1412.86,SPEAKER_02, Just throwing it out there.
1412.86,1417.86,SPEAKER_02, Yeah.
1417.86,1422.86,SPEAKER_00, Well.
1422.86,1426.86,SPEAKER_00, I'm going to give you 15 minutes.
1426.86,1427.86,, Okay.
1427.86,1429.86,SPEAKER_02, Anything else you want to discuss?
1429.86,1434.86,SPEAKER_00," Well, do we want to include the numbers like 0 through 9?"
1434.86,1437.86,SPEAKER_00, Can we conceive of leaving them out?
1437.86,1438.86,SPEAKER_01, Wait.
1438.86,1439.86,SPEAKER_01, On the remote at tell?
1439.86,1440.86,SPEAKER_00, Yeah.
1440.86,1442.86,SPEAKER_00," Like you have 1, 2, 3, 4, 5, 6, 7, 8, 9, 0."
1442.86,1444.86,SPEAKER_01," Well, we definitely need to help you out."
1444.86,1445.86,SPEAKER_01, Yeah.
1445.86,1446.86,SPEAKER_00," Well, I don't know."
1446.86,1449.86,SPEAKER_00," I mean, if you can think of it's like, well, I don't know."
1449.86,1451.86,SPEAKER_00, This is the way of leaving them out.
1451.86,1453.86,SPEAKER_03, I think people would find that too foreign.
1453.86,1454.86,SPEAKER_02, Yeah.
1454.86,1455.86,SPEAKER_02, Yeah.
1455.86,1456.86,SPEAKER_02, That's true.
1456.86,1457.86,SPEAKER_02, Definitely.
1457.86,1460.86,SPEAKER_02, Also remember that in this day of age we need like 100 button too.
1460.86,1464.86,SPEAKER_02, I used to have remote that's not even go up past like 50.
1464.86,1469.86,SPEAKER_02, So I can whenever I got cable I had to get me to meet.
1469.86,1472.86,SPEAKER_02, That's when you get to the sideline.
1472.86,1473.86,SPEAKER_02," Yes, I can."
1473.86,1474.86,SPEAKER_02, Or digital cable.
1474.86,1475.86,SPEAKER_02, Yeah.
1475.86,1476.86,SPEAKER_02, Okay.
1476.86,1484.86,SPEAKER_02, I guess we're going to discuss the project financing later.
1484.86,1493.86,SPEAKER_02, Making sure that we can fit all the stuff that we want to on our budget.
1493.86,1497.86,SPEAKER_03," Yeah, because I don't have any material parsing information available to me at the moment."
1497.86,1503.86,SPEAKER_02, So don't forget we need to include the color of our company and the logo.
1503.86,1505.86,SPEAKER_02, The color being yellow.
1505.86,1507.86,SPEAKER_02, I'm guessing.
1507.86,1508.86,SPEAKER_02, How do you like it?
1508.86,1509.86,SPEAKER_01, I feel yellow.
1509.86,1510.86,SPEAKER_01, I feel yellow.
1510.86,1511.86,SPEAKER_01, I'm going to be too garish.
1511.86,1512.86,SPEAKER_01, We could just have to make it a little bit.
1512.86,1513.86,SPEAKER_02, I don't know.
1513.86,1515.86,SPEAKER_02, Or maybe yellow light for the key.
1515.86,1516.86,SPEAKER_01, I'll put like stripes.
1516.86,1517.86,SPEAKER_01," Oh, yeah, yellow."
1517.86,1518.86,SPEAKER_01, Yeah.
1518.86,1521.86,SPEAKER_03, Yellow could be and it doesn't have to be huge.
1521.86,1522.86,SPEAKER_00, Yeah.
1522.86,1525.86,SPEAKER_00," Well, if you have like a, I know."
1525.86,1528.86,SPEAKER_00, You have the sort of strip kind of down at the bottom.
1528.86,1531.86,SPEAKER_00, The base of it is just like yellow with the R.
1531.86,1532.86,SPEAKER_04, Right.
1532.86,1541.86,SPEAKER_02," So we've simplified, we don't need all those play fast forward in mind."
1541.86,1542.86,SPEAKER_02, Right.
1542.86,1543.86,SPEAKER_02, Yeah.
1543.86,1544.86,SPEAKER_02," You know, many buttons."
1544.86,1555.86,SPEAKER_02, So we've pretty much paired it down to on off volume mute channel up down on the numbers.
1555.86,1558.86,SPEAKER_02, Yeah.
1558.86,1567.86,SPEAKER_02," Can we go back to, I'm going to look really quickly back at those two examples."
1567.86,1568.86,SPEAKER_02, Examples.
1568.86,1569.86,SPEAKER_02, Yeah.
1569.86,1571.86,SPEAKER_02, Let's see if there's anything which one was your technical functions.
1571.86,1572.86,SPEAKER_02," Oh, so yeah."
1572.86,1573.86,SPEAKER_02, Yeah.
1573.86,1574.86,SPEAKER_01, Yeah.
1574.86,1576.86,SPEAKER_01, Audio settings and screen settings.
1576.86,1582.86,SPEAKER_01," We need those like audio settings, mono, stereo, pitch, screen settings like brightness color."
1582.86,1585.86,SPEAKER_01, Or do we just want that access access from the television itself?
1585.86,1586.86,SPEAKER_02, I think that that's fine.
1586.86,1587.86,SPEAKER_02, Just in the TV.
1587.86,1591.86,SPEAKER_02," I mean, how often does they have a GZ to get that kind of stuff?"
1591.86,1596.86,SPEAKER_00," Well, the other ops is sort of like down at the bottom like farther away."
1596.86,1600.86,SPEAKER_00, You just have the sort of box in that where it's like the buttons that you don't use as much.
1600.86,1602.86,SPEAKER_00, But occasionally you will use.
1602.86,1603.86,SPEAKER_00," Yeah, because we did."
1603.86,1610.86,SPEAKER_01, We definitely need to have buttons for like sub titles and things like that is because the foreign film market is expanding and stuff.
1610.86,1614.86,SPEAKER_01," And like on television, like I know, living in Los Angeles."
1614.86,1617.86,SPEAKER_01, It's tons of Spanish network television.
1617.86,1620.86,SPEAKER_01," If it has English subtitles, it's definitely helpful."
1620.86,1622.86,SPEAKER_02, Can we do that off here with a button?
1622.86,1623.86,SPEAKER_02, I don't know if it will.
1623.86,1629.86,SPEAKER_02," I'm any button that pops up with a menu on TV that says, you know, audio, video, whatever, language, you know."
1629.86,1630.86,SPEAKER_02, Right.
1630.86,1632.86,SPEAKER_01, So we need up down inside the side buttons.
1632.86,1633.86,SPEAKER_01," Well, that would be a minute."
1633.86,1637.86,SPEAKER_00, We could just double up with like the channel or the volume buttons.
1637.86,1638.86,SPEAKER_00, That's true.
1638.86,1639.86,SPEAKER_00, Yeah.
1639.86,1641.86,SPEAKER_00, The channel is just up and down.
1641.86,1642.86,SPEAKER_01, Okay.
1642.86,1649.86,SPEAKER_00," And then something that such as, yeah, the one, you know, going over there on the left, the"
1649.86,1650.86,SPEAKER_01, engineering center.
1650.86,1651.86,SPEAKER_04, Right.
1651.86,1658.86,SPEAKER_00," Right. So we just have like add a menu button then for the various things needed, including voice recognition."
1658.86,1664.86,SPEAKER_00," If we have any like settings for voice recognition though, included in the menu."
1664.86,1665.86,SPEAKER_01, Yep.
1665.86,1672.86,SPEAKER_01, We just got an idea for just how I'm good.
1672.86,1683.86,SPEAKER_02, Anybody have anything else I'd like to bring up?
1683.86,1684.86,SPEAKER_02, You just need it.
1684.86,1687.86,SPEAKER_03, I had something but I forgot.
1687.86,1688.86,, Okay.
1688.86,1689.86,, Okay.
1689.86,1690.86,, Here.
1690.86,1697.86,SPEAKER_02, Let's go back to the main closure then and see what we need to do next.
1697.86,1704.86,SPEAKER_02, All right.
1704.86,1711.86,SPEAKER_02," After this meeting, we're going to be sent a questionnaire and summary again, which we need to apply to that email."
1711.86,1712.86,SPEAKER_02, And then we're going to have lunch break.
1712.86,1716.86,SPEAKER_02," And after lunch, 30 minutes of individual work time."
1716.86,1717.86,SPEAKER_02, I'm going to put the minutes.
1717.86,1722.86,SPEAKER_02, I put the minutes for the first meeting already in the product documents folder if you'd like to review them.
1722.86,1726.86,SPEAKER_02, And I'm going to type up the minutes for this one as well.
1726.86,1728.86,SPEAKER_02, Here's what we're each going to do.
1728.86,1732.86,SPEAKER_02, The ID is going to work on the components concept.
1732.86,1737.86,SPEAKER_02," UID, the user interface concept and you're going to do some turn-watching."
1737.86,1738.86,SPEAKER_02, Okay.
1738.86,1742.86,SPEAKER_02, Specific instructions will be sent to you by your personal coach.
1742.86,1746.86,SPEAKER_02," And if anybody has anything they would like to add, no?"
1746.86,1747.86,SPEAKER_02, Okay.
1747.86,1750.86,SPEAKER_02," Well, this meeting is officially over."
1750.86,1751.86,SPEAKER_02, Thank you all.
